NP_ID,Neighborhood,Demographic,Unit_Size,Affordable_ind,Year
3,Centennial-Glenfair-Wilkes,Single Mother,Homeownership,N,2016
3,Centennial-Glenfair-Wilkes,Foreign-Born,Studio,Y,2016
3,Centennial-Glenfair-Wilkes,Foreign-Born,1-BR,N,2016
3,Centennial-Glenfair-Wilkes,Foreign-Born,2-BR,N,2016
3,Centennial-Glenfair-Wilkes,Foreign-Born,3-BR,N,2016
3,Centennial-Glenfair-Wilkes,Foreign-Born,Homeownership,Y,2016
1,122nd-Division,Avg. Portland Household,Studio,Y,2016
1,122nd-Division,Avg. Portland Household,1-BR,N,2016
1,122nd-Division,Avg. Portland Household,2-BR,N,2016
1,122nd-Division,Avg. Portland Household,3-BR,N,2016
1,122nd-Division,Avg. Portland Household,Homeownership,Y,2016
1,122nd-Division,3-Person Extremely Low-Income,Studio,Y,2016
1,122nd-Division,3-Person Extremely Low-Income,1-BR,N,2016
1,122nd-Division,3-Person Extremely Low-Income,2-BR,N,2016
1,122nd-Division,3-Person Extremely Low-Income,3-BR,N,2016
1,122nd-Division,3-Person Extremely Low-Income,Homeownership,Y,2016
1,122nd-Division,3-Person Low-Income,Studio,Y,2016
1,122nd-Division,3-Person Low-Income,1-BR,N,2016
1,122nd-Division,3-Person Low-Income,2-BR,N,2016
1,122nd-Division,3-Person Low-Income,3-BR,N,2016
1,122nd-Division,3-Person Low-Income,Homeownership,Y,2016
1,122nd-Division,3-Person Moderate-Income,Studio,Y,2016
1,122nd-Division,3-Person Moderate-Income,1-BR,N,2016
1,122nd-Division,3-Person Moderate-Income,2-BR,N,2016
1,122nd-Division,3-Person Moderate-Income,3-BR,N,2016
1,122nd-Division,3-Person Moderate-Income,Homeownership,Y,2016
1,122nd-Division,Couple with Family,Studio,Y,2016
1,122nd-Division,Couple with Family,1-BR,N,2016
1,122nd-Division,Couple with Family,2-BR,N,2016
1,122nd-Division,Couple with Family,3-BR,N,2016
1,122nd-Division,Couple with Family,Homeownership,Y,2016
1,122nd-Division,White,Studio,N,2016
1,122nd-Division,White,1-BR,N,2016
1,122nd-Division,White,2-BR,N,2016
1,122nd-Division,White,3-BR,N,2016
1,122nd-Division,White,Homeownership,N,2016
1,122nd-Division,Black,Studio,Y,2016
1,122nd-Division,Black,1-BR,N,2016
1,122nd-Division,Black,2-BR,N,2016
1,122nd-Division,Black,3-BR,N,2016
1,122nd-Division,Black,Homeownership,Y,2016
1,122nd-Division,Latino,Studio,Y,2016
1,122nd-Division,Latino,1-BR,N,2016
1,122nd-Division,Latino,2-BR,N,2016
1,122nd-Division,Latino,3-BR,N,2016
1,122nd-Division,Latino,Homeownership,N,2016
1,122nd-Division,Native American,Studio,Y,2016
1,122nd-Division,Native American,1-BR,N,2016
1,122nd-Division,Native American,2-BR,N,2016
1,122nd-Division,Native American,3-BR,N,2016
1,122nd-Division,Native American,Homeownership,N,2016
1,122nd-Division,Asian,Studio,Y,2016
1,122nd-Division,Asian,1-BR,N,2016
1,122nd-Division,Asian,2-BR,N,2016
1,122nd-Division,Asian,3-BR,N,2016
1,122nd-Division,Asian,Homeownership,Y,2016
1,122nd-Division,Senior,Studio,Y,2016
1,122nd-Division,Senior,1-BR,N,2016
1,122nd-Division,Senior,2-BR,N,2016
1,122nd-Division,Senior,3-BR,N,2016
1,122nd-Division,Senior,Homeownership,N,2016
1,122nd-Division,Single Mother,Studio,Y,2016
1,122nd-Division,Single Mother,1-BR,N,2016
1,122nd-Division,Single Mother,2-BR,N,2016
1,122nd-Division,Single Mother,3-BR,N,2016
1,122nd-Division,Single Mother,Homeownership,N,2016
1,122nd-Division,Foreign-Born,Studio,Y,2016
1,122nd-Division,Foreign-Born,1-BR,N,2016
1,122nd-Division,Foreign-Born,2-BR,N,2016
1,122nd-Division,Foreign-Born,3-BR,N,2016
1,122nd-Division,Foreign-Born,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,Avg. Portland Household,Studio,Y,2016
2,Belmont-Hawthorne-Division,Avg. Portland Household,1-BR,N,2016
2,Belmont-Hawthorne-Division,Avg. Portland Household,2-BR,N,2016
2,Belmont-Hawthorne-Division,Avg. Portland Household,3-BR,N,2016
2,Belmont-Hawthorne-Division,Avg. Portland Household,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,3-Person Extremely Low-Income,Studio,Y,2016
2,Belmont-Hawthorne-Division,3-Person Extremely Low-Income,1-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Extremely Low-Income,2-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Extremely Low-Income,3-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Extremely Low-Income,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,3-Person Low-Income,Studio,Y,2016
2,Belmont-Hawthorne-Division,3-Person Low-Income,1-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Low-Income,2-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Low-Income,3-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Low-Income,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,3-Person Moderate-Income,Studio,Y,2016
2,Belmont-Hawthorne-Division,3-Person Moderate-Income,1-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Moderate-Income,2-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Moderate-Income,3-BR,N,2016
2,Belmont-Hawthorne-Division,3-Person Moderate-Income,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,Couple with Family,Studio,Y,2016
2,Belmont-Hawthorne-Division,Couple with Family,1-BR,N,2016
2,Belmont-Hawthorne-Division,Couple with Family,2-BR,N,2016
2,Belmont-Hawthorne-Division,Couple with Family,3-BR,N,2016
2,Belmont-Hawthorne-Division,Couple with Family,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,White,Studio,N,2016
2,Belmont-Hawthorne-Division,White,1-BR,N,2016
2,Belmont-Hawthorne-Division,White,2-BR,N,2016
2,Belmont-Hawthorne-Division,White,3-BR,N,2016
2,Belmont-Hawthorne-Division,White,Homeownership,N,2016
2,Belmont-Hawthorne-Division,Black,Studio,Y,2016
2,Belmont-Hawthorne-Division,Black,1-BR,N,2016
2,Belmont-Hawthorne-Division,Black,2-BR,N,2016
2,Belmont-Hawthorne-Division,Black,3-BR,N,2016
2,Belmont-Hawthorne-Division,Black,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,Latino,Studio,Y,2016
2,Belmont-Hawthorne-Division,Latino,1-BR,N,2016
2,Belmont-Hawthorne-Division,Latino,2-BR,N,2016
2,Belmont-Hawthorne-Division,Latino,3-BR,N,2016
2,Belmont-Hawthorne-Division,Latino,Homeownership,N,2016
2,Belmont-Hawthorne-Division,Native American,Studio,Y,2016
2,Belmont-Hawthorne-Division,Native American,1-BR,N,2016
2,Belmont-Hawthorne-Division,Native American,2-BR,N,2016
2,Belmont-Hawthorne-Division,Native American,3-BR,N,2016
2,Belmont-Hawthorne-Division,Native American,Homeownership,N,2016
2,Belmont-Hawthorne-Division,Asian,Studio,Y,2016
2,Belmont-Hawthorne-Division,Asian,1-BR,N,2016
2,Belmont-Hawthorne-Division,Asian,2-BR,N,2016
2,Belmont-Hawthorne-Division,Asian,3-BR,N,2016
2,Belmont-Hawthorne-Division,Asian,Homeownership,Y,2016
2,Belmont-Hawthorne-Division,Senior,Studio,Y,2016
2,Belmont-Hawthorne-Division,Senior,1-BR,N,2016
2,Belmont-Hawthorne-Division,Senior,2-BR,N,2016
2,Belmont-Hawthorne-Division,Senior,3-BR,N,2016
2,Belmont-Hawthorne-Division,Senior,Homeownership,N,2016
2,Belmont-Hawthorne-Division,Single Mother,Studio,Y,2016
2,Belmont-Hawthorne-Division,Single Mother,1-BR,N,2016
2,Belmont-Hawthorne-Division,Single Mother,2-BR,N,2016
2,Belmont-Hawthorne-Division,Single Mother,3-BR,N,2016
2,Belmont-Hawthorne-Division,Single Mother,Homeownership,N,2016
2,Belmont-Hawthorne-Division,Foreign-Born,Studio,Y,2016
2,Belmont-Hawthorne-Division,Foreign-Born,1-BR,N,2016
2,Belmont-Hawthorne-Division,Foreign-Born,2-BR,N,2016
2,Belmont-Hawthorne-Division,Foreign-Born,3-BR,N,2016
2,Belmont-Hawthorne-Division,Foreign-Born,Homeownership,Y,2016
4,Central City,Avg. Portland Household,Studio,Y,2016
4,Central City,Avg. Portland Household,1-BR,N,2016
4,Central City,Avg. Portland Household,2-BR,N,2016
4,Central City,Avg. Portland Household,3-BR,N,2016
4,Central City,Avg. Portland Household,Homeownership,Y,2016
4,Central City,3-Person Extremely Low-Income,Studio,Y,2016
4,Central City,3-Person Extremely Low-Income,1-BR,N,2016
4,Central City,3-Person Extremely Low-Income,2-BR,N,2016
4,Central City,3-Person Extremely Low-Income,3-BR,N,2016
4,Central City,3-Person Extremely Low-Income,Homeownership,Y,2016
4,Central City,3-Person Low-Income,Studio,Y,2016
4,Central City,3-Person Low-Income,1-BR,N,2016
4,Central City,3-Person Low-Income,2-BR,N,2016
4,Central City,3-Person Low-Income,3-BR,N,2016
4,Central City,3-Person Low-Income,Homeownership,Y,2016
4,Central City,3-Person Moderate-Income,Studio,Y,2016
4,Central City,3-Person Moderate-Income,1-BR,N,2016
4,Central City,3-Person Moderate-Income,2-BR,N,2016
4,Central City,3-Person Moderate-Income,3-BR,N,2016
4,Central City,3-Person Moderate-Income,Homeownership,Y,2016
4,Central City,Couple with Family,Studio,Y,2016
4,Central City,Couple with Family,1-BR,N,2016
4,Central City,Couple with Family,2-BR,N,2016
4,Central City,Couple with Family,3-BR,N,2016
4,Central City,Couple with Family,Homeownership,Y,2016
4,Central City,White,Studio,N,2016
4,Central City,White,1-BR,N,2016
4,Central City,White,2-BR,N,2016
4,Central City,White,3-BR,N,2016
4,Central City,White,Homeownership,N,2016
4,Central City,Black,Studio,Y,2016
4,Central City,Black,1-BR,N,2016
4,Central City,Black,2-BR,N,2016
4,Central City,Black,3-BR,N,2016
4,Central City,Black,Homeownership,Y,2016
4,Central City,Latino,Studio,Y,2016
4,Central City,Latino,1-BR,N,2016
4,Central City,Latino,2-BR,N,2016
4,Central City,Latino,3-BR,N,2016
4,Central City,Latino,Homeownership,N,2016
4,Central City,Native American,Studio,Y,2016
4,Central City,Native American,1-BR,N,2016
4,Central City,Native American,2-BR,N,2016
4,Central City,Native American,3-BR,N,2016
4,Central City,Native American,Homeownership,N,2016
4,Central City,Asian,Studio,Y,2016
4,Central City,Asian,1-BR,N,2016
4,Central City,Asian,2-BR,N,2016
4,Central City,Asian,3-BR,N,2016
4,Central City,Asian,Homeownership,Y,2016
4,Central City,Senior,Studio,Y,2016
4,Central City,Senior,1-BR,N,2016
4,Central City,Senior,2-BR,N,2016
4,Central City,Senior,3-BR,N,2016
4,Central City,Senior,Homeownership,N,2016
4,Central City,Single Mother,Studio,Y,2016
4,Central City,Single Mother,1-BR,N,2016
4,Central City,Single Mother,2-BR,N,2016
4,Central City,Single Mother,3-BR,N,2016
4,Central City,Single Mother,Homeownership,N,2016
4,Central City,Foreign-Born,Studio,Y,2016
4,Central City,Foreign-Born,1-BR,N,2016
4,Central City,Foreign-Born,2-BR,N,2016
4,Central City,Foreign-Born,3-BR,N,2016
4,Central City,Foreign-Born,Homeownership,Y,2016
5,Forest Park-Northwest Hills,Avg. Portland Household,Studio,Y,2016
5,Forest Park-Northwest Hills,Avg. Portland Household,1-BR,N,2016
5,Forest Park-Northwest Hills,Avg. Portland Household,2-BR,N,2016
5,Forest Park-Northwest Hills,Avg. Portland Household,3-BR,N,2016
5,Forest Park-Northwest Hills,Avg. Portland Household,Homeownership,Y,2016
5,Forest Park-Northwest Hills,3-Person Extremely Low-Income,Studio,Y,2016
5,Forest Park-Northwest Hills,3-Person Extremely Low-Income,1-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Extremely Low-Income,2-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Extremely Low-Income,3-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Extremely Low-Income,Homeownership,Y,2016
5,Forest Park-Northwest Hills,3-Person Low-Income,Studio,Y,2016
5,Forest Park-Northwest Hills,3-Person Low-Income,1-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Low-Income,2-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Low-Income,3-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Low-Income,Homeownership,Y,2016
5,Forest Park-Northwest Hills,3-Person Moderate-Income,Studio,Y,2016
5,Forest Park-Northwest Hills,3-Person Moderate-Income,1-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Moderate-Income,2-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Moderate-Income,3-BR,N,2016
5,Forest Park-Northwest Hills,3-Person Moderate-Income,Homeownership,Y,2016
5,Forest Park-Northwest Hills,Couple with Family,Studio,Y,2016
5,Forest Park-Northwest Hills,Couple with Family,1-BR,N,2016
5,Forest Park-Northwest Hills,Couple with Family,2-BR,N,2016
5,Forest Park-Northwest Hills,Couple with Family,3-BR,N,2016
5,Forest Park-Northwest Hills,Couple with Family,Homeownership,Y,2016
5,Forest Park-Northwest Hills,White,Studio,N,2016
5,Forest Park-Northwest Hills,White,1-BR,N,2016
5,Forest Park-Northwest Hills,White,2-BR,N,2016
5,Forest Park-Northwest Hills,White,3-BR,N,2016
5,Forest Park-Northwest Hills,White,Homeownership,N,2016
5,Forest Park-Northwest Hills,Black,Studio,Y,2016
5,Forest Park-Northwest Hills,Black,1-BR,N,2016
5,Forest Park-Northwest Hills,Black,2-BR,N,2016
5,Forest Park-Northwest Hills,Black,3-BR,N,2016
5,Forest Park-Northwest Hills,Black,Homeownership,Y,2016
5,Forest Park-Northwest Hills,Latino,Studio,Y,2016
5,Forest Park-Northwest Hills,Latino,1-BR,N,2016
5,Forest Park-Northwest Hills,Latino,2-BR,N,2016
5,Forest Park-Northwest Hills,Latino,3-BR,N,2016
5,Forest Park-Northwest Hills,Latino,Homeownership,N,2016
5,Forest Park-Northwest Hills,Native American,Studio,Y,2016
5,Forest Park-Northwest Hills,Native American,1-BR,N,2016
5,Forest Park-Northwest Hills,Native American,2-BR,N,2016
5,Forest Park-Northwest Hills,Native American,3-BR,N,2016
5,Forest Park-Northwest Hills,Native American,Homeownership,N,2016
5,Forest Park-Northwest Hills,Asian,Studio,Y,2016
5,Forest Park-Northwest Hills,Asian,1-BR,N,2016
5,Forest Park-Northwest Hills,Asian,2-BR,N,2016
5,Forest Park-Northwest Hills,Asian,3-BR,N,2016
5,Forest Park-Northwest Hills,Asian,Homeownership,Y,2016
5,Forest Park-Northwest Hills,Senior,Studio,Y,2016
5,Forest Park-Northwest Hills,Senior,1-BR,N,2016
5,Forest Park-Northwest Hills,Senior,2-BR,N,2016
5,Forest Park-Northwest Hills,Senior,3-BR,N,2016
5,Forest Park-Northwest Hills,Senior,Homeownership,N,2016
5,Forest Park-Northwest Hills,Single Mother,Studio,Y,2016
5,Forest Park-Northwest Hills,Single Mother,1-BR,N,2016
5,Forest Park-Northwest Hills,Single Mother,2-BR,N,2016
5,Forest Park-Northwest Hills,Single Mother,3-BR,N,2016
5,Forest Park-Northwest Hills,Single Mother,Homeownership,N,2016
5,Forest Park-Northwest Hills,Foreign-Born,Studio,Y,2016
5,Forest Park-Northwest Hills,Foreign-Born,1-BR,N,2016
5,Forest Park-Northwest Hills,Foreign-Born,2-BR,N,2016
5,Forest Park-Northwest Hills,Foreign-Born,3-BR,N,2016
5,Forest Park-Northwest Hills,Foreign-Born,Homeownership,Y,2016
6,Gateway,Avg. Portland Household,Studio,Y,2016
6,Gateway,Avg. Portland Household,1-BR,N,2016
6,Gateway,Avg. Portland Household,2-BR,N,2016
6,Gateway,Avg. Portland Household,3-BR,N,2016
6,Gateway,Avg. Portland Household,Homeownership,Y,2016
6,Gateway,3-Person Extremely Low-Income,Studio,Y,2016
6,Gateway,3-Person Extremely Low-Income,1-BR,N,2016
6,Gateway,3-Person Extremely Low-Income,2-BR,N,2016
6,Gateway,3-Person Extremely Low-Income,3-BR,N,2016
6,Gateway,3-Person Extremely Low-Income,Homeownership,Y,2016
6,Gateway,3-Person Low-Income,Studio,Y,2016
6,Gateway,3-Person Low-Income,1-BR,N,2016
6,Gateway,3-Person Low-Income,2-BR,N,2016
6,Gateway,3-Person Low-Income,3-BR,N,2016
6,Gateway,3-Person Low-Income,Homeownership,Y,2016
6,Gateway,3-Person Moderate-Income,Studio,Y,2016
6,Gateway,3-Person Moderate-Income,1-BR,N,2016
6,Gateway,3-Person Moderate-Income,2-BR,N,2016
6,Gateway,3-Person Moderate-Income,3-BR,N,2016
6,Gateway,3-Person Moderate-Income,Homeownership,Y,2016
6,Gateway,Couple with Family,Studio,Y,2016
6,Gateway,Couple with Family,1-BR,N,2016
6,Gateway,Couple with Family,2-BR,N,2016
6,Gateway,Couple with Family,3-BR,N,2016
6,Gateway,Couple with Family,Homeownership,Y,2016
6,Gateway,White,Studio,N,2016
6,Gateway,White,1-BR,N,2016
6,Gateway,White,2-BR,N,2016
6,Gateway,White,3-BR,N,2016
6,Gateway,White,Homeownership,N,2016
6,Gateway,Black,Studio,Y,2016
6,Gateway,Black,1-BR,N,2016
6,Gateway,Black,2-BR,N,2016
6,Gateway,Black,3-BR,N,2016
6,Gateway,Black,Homeownership,Y,2016
6,Gateway,Latino,Studio,Y,2016
6,Gateway,Latino,1-BR,N,2016
6,Gateway,Latino,2-BR,N,2016
6,Gateway,Latino,3-BR,N,2016
6,Gateway,Latino,Homeownership,N,2016
6,Gateway,Native American,Studio,Y,2016
6,Gateway,Native American,1-BR,N,2016
6,Gateway,Native American,2-BR,N,2016
6,Gateway,Native American,3-BR,N,2016
6,Gateway,Native American,Homeownership,N,2016
6,Gateway,Asian,Studio,Y,2016
6,Gateway,Asian,1-BR,N,2016
6,Gateway,Asian,2-BR,N,2016
6,Gateway,Asian,3-BR,N,2016
6,Gateway,Asian,Homeownership,Y,2016
6,Gateway,Senior,Studio,Y,2016
6,Gateway,Senior,1-BR,N,2016
6,Gateway,Senior,2-BR,N,2016
6,Gateway,Senior,3-BR,N,2016
6,Gateway,Senior,Homeownership,N,2016
6,Gateway,Single Mother,Studio,Y,2016
6,Gateway,Single Mother,1-BR,N,2016
6,Gateway,Single Mother,2-BR,N,2016
6,Gateway,Single Mother,3-BR,N,2016
6,Gateway,Single Mother,Homeownership,N,2016
6,Gateway,Foreign-Born,Studio,Y,2016
6,Gateway,Foreign-Born,1-BR,N,2016
6,Gateway,Foreign-Born,2-BR,N,2016
6,Gateway,Foreign-Born,3-BR,N,2016
6,Gateway,Foreign-Born,Homeownership,Y,2016
7,Hayden Island,Avg. Portland Household,Studio,Y,2016
7,Hayden Island,Avg. Portland Household,1-BR,N,2016
7,Hayden Island,Avg. Portland Household,2-BR,N,2016
7,Hayden Island,Avg. Portland Household,3-BR,N,2016
7,Hayden Island,Avg. Portland Household,Homeownership,Y,2016
7,Hayden Island,3-Person Extremely Low-Income,Studio,Y,2016
7,Hayden Island,3-Person Extremely Low-Income,1-BR,N,2016
7,Hayden Island,3-Person Extremely Low-Income,2-BR,N,2016
7,Hayden Island,3-Person Extremely Low-Income,3-BR,N,2016
7,Hayden Island,3-Person Extremely Low-Income,Homeownership,Y,2016
7,Hayden Island,3-Person Low-Income,Studio,Y,2016
7,Hayden Island,3-Person Low-Income,1-BR,N,2016
7,Hayden Island,3-Person Low-Income,2-BR,N,2016
7,Hayden Island,3-Person Low-Income,3-BR,N,2016
7,Hayden Island,3-Person Low-Income,Homeownership,Y,2016
7,Hayden Island,3-Person Moderate-Income,Studio,Y,2016
7,Hayden Island,3-Person Moderate-Income,1-BR,N,2016
7,Hayden Island,3-Person Moderate-Income,2-BR,N,2016
7,Hayden Island,3-Person Moderate-Income,3-BR,N,2016
7,Hayden Island,3-Person Moderate-Income,Homeownership,Y,2016
7,Hayden Island,Couple with Family,Studio,Y,2016
7,Hayden Island,Couple with Family,1-BR,N,2016
7,Hayden Island,Couple with Family,2-BR,N,2016
7,Hayden Island,Couple with Family,3-BR,N,2016
7,Hayden Island,Couple with Family,Homeownership,Y,2016
7,Hayden Island,White,Studio,N,2016
7,Hayden Island,White,1-BR,N,2016
7,Hayden Island,White,2-BR,N,2016
7,Hayden Island,White,3-BR,N,2016
7,Hayden Island,White,Homeownership,N,2016
7,Hayden Island,Black,Studio,Y,2016
7,Hayden Island,Black,1-BR,N,2016
7,Hayden Island,Black,2-BR,N,2016
7,Hayden Island,Black,3-BR,N,2016
7,Hayden Island,Black,Homeownership,Y,2016
7,Hayden Island,Latino,Studio,Y,2016
7,Hayden Island,Latino,1-BR,N,2016
7,Hayden Island,Latino,2-BR,N,2016
7,Hayden Island,Latino,3-BR,N,2016
7,Hayden Island,Latino,Homeownership,N,2016
7,Hayden Island,Native American,Studio,Y,2016
7,Hayden Island,Native American,1-BR,N,2016
7,Hayden Island,Native American,2-BR,N,2016
7,Hayden Island,Native American,3-BR,N,2016
7,Hayden Island,Native American,Homeownership,N,2016
7,Hayden Island,Asian,Studio,Y,2016
7,Hayden Island,Asian,1-BR,N,2016
7,Hayden Island,Asian,2-BR,N,2016
7,Hayden Island,Asian,3-BR,N,2016
7,Hayden Island,Asian,Homeownership,Y,2016
7,Hayden Island,Senior,Studio,Y,2016
7,Hayden Island,Senior,1-BR,N,2016
7,Hayden Island,Senior,2-BR,N,2016
7,Hayden Island,Senior,3-BR,N,2016
7,Hayden Island,Senior,Homeownership,N,2016
7,Hayden Island,Single Mother,Studio,Y,2016
7,Hayden Island,Single Mother,1-BR,N,2016
7,Hayden Island,Single Mother,2-BR,N,2016
7,Hayden Island,Single Mother,3-BR,N,2016
7,Hayden Island,Single Mother,Homeownership,N,2016
7,Hayden Island,Foreign-Born,Studio,Y,2016
7,Hayden Island,Foreign-Born,1-BR,N,2016
7,Hayden Island,Foreign-Born,2-BR,N,2016
7,Hayden Island,Foreign-Born,3-BR,N,2016
7,Hayden Island,Foreign-Born,Homeownership,Y,2016
8,Hillsdale-Multnomah-Barbur,Avg. Portland Household,Studio,Y,2016
8,Hillsdale-Multnomah-Barbur,Avg. Portland Household,1-BR,N,2016
8,Hillsdale-Multnomah-Barbur,Avg. Portland Household,2-BR,N,2016
8,Hillsdale-Multnomah-Barbur,Avg. Portland Household,3-BR,N,2016
8,Hillsdale-Multnomah-Barbur,Avg. Portland Household,Homeownership,Y,2016
8,Hillsdale-Multnomah-Barbur,3-Person Extremely Low-Income,Studio,Y,2016
8,Hillsdale-Multnomah-Barbur,3-Person Extremely Low-Income,1-BR,N,2016
8,Hillsdale-Multnomah-Barbur,3-Person Extremely Low-Income,2-BR,N,2016
8,Hillsdale-Multnomah-Barbur,3-Person Extremely Low-Income,3-BR,N,2016
8,Hillsdale-Multnomah-Barbur,3-Person Extremely Low-Income,Homeownership,Y,2016
8,Hillsdale-Multnomah-Barbur,3-Person Low-Income,Studio,Y,2016
8,Hillsdale-Multnomah-Barbur,3-Person Low-Income,1-BR,N,2016
8,Hillsdale-Multnomah-Barbur,3-Person Low-Income,2-BR,N,2016
8,Hillsdale-Multnomah-Barbur,3-Person Low-Income,3-BR,N,2016
8,Hillsdale-Multnomah-Barbur,3-Person Low-Income,Homeownership,Y,2016
8,Hillsdale-Multnomah-Barbur,3-Person Moderate-Income,Studio,Y,2016
8,Hillsdale-Multnomah-Barbur,3-Person Moderate-Income,1-BR,N,2016
8,Hillsdale-Multnomah-Barbur,3-Person Moderate-Income,2-BR,N,2016
